Chr2 1 1000000 	42494 sites 	123.083 sec elapsed
Chr2 1000001 2000000 	64155 sites 	260.15 sec elapsed
Chr2 2000001 3000000 	63062 sites 	349.775 sec elapsed
Chr2 3000001 4000000 	46122 sites 	181.015 sec elapsed
Chr2 4000001 5000000 	50944 sites 	223.993 sec elapsed
Chr2 5000001 6000000 	45244 sites 	182.972 sec elapsed
Chr2 6000001 7000000 	36961 sites 	124.11 sec elapsed
Chr2 7000001 8000000 	36382 sites 	120.873 sec elapsed
Chr2 8000001 9000000 	46864 sites 	192.668 sec elapsed
Chr2 9000001 10000000 	39178 sites 	133.765 sec elapsed
Chr2 10000001 11000000 	48200 sites 	206.738 sec elapsed
Chr2 11000001 12000000 	44360 sites 	178.655 sec elapsed
Chr2 12000001 13000000 	40576 sites 	148.361 sec elapsed
Chr2 13000001 14000000 	41861 sites 	155.722 sec elapsed
Chr2 14000001 15000000 	43449 sites 	159.1 sec elapsed
Chr2 15000001 16000000 	34085 sites 	110.661 sec elapsed
Chr2 16000001 17000000 	29333 sites 	81.826 sec elapsed
Chr2 17000001 18000000 	32388 sites 	105.583 sec elapsed
Chr2 18000001 19000000 	35119 sites 	120.514 sec elapsed
Chr2 19000001 20000000 	49287 sites 	195.782 sec elapsed
Chr2 20000001 21000000 	43007 sites 	152.591 sec elapsed
Chr2 21000001 22000000 	43083 sites 	165.415 sec elapsed
Chr2 22000001 23000000 	31729 sites 	97.124 sec elapsed
Chr2 23000001 24000000 	34120 sites 	107.343 sec elapsed
Chr2 24000001 25000000 	39622 sites 	138.293 sec elapsed
Chr2 25000001 26000000 	36833 sites 	119.084 sec elapsed
Chr2 26000001 27000000 	41714 sites 	156.988 sec elapsed
Chr2 27000001 28000000 	34640 sites 	108.13 sec elapsed
Chr2 28000001 29000000 	42229 sites 	161.251 sec elapsed
Chr2 29000001 30000000 	42203 sites 	155.278 sec elapsed
Chr2 30000001 31000000 	40783 sites 	148.698 sec elapsed
Chr2 31000001 32000000 	30839 sites 	94.169 sec elapsed
Chr2 32000001 33000000 	41125 sites 	147.691 sec elapsed
Chr2 33000001 34000000 	26095 sites 	74.045 sec elapsed
Chr2 34000001 35000000 	36758 sites 	119.002 sec elapsed
Chr2 35000001 36000000 	3678 sites 	11.048 sec elapsed
Chr2 36000001 37000000 	33132 sites 	100.003 sec elapsed
Chr2 37000001 38000000 	39210 sites 	134.687 sec elapsed
Chr2 38000001 39000000 	37381 sites 	124.579 sec elapsed
Chr2 39000001 40000000 	40347 sites 	148.953 sec elapsed
Chr2 40000001 41000000 	37743 sites 	141.484 sec elapsed
Chr2 41000001 42000000 	38826 sites 	138.384 sec elapsed
Chr2 42000001 43000000 	36102 sites 	138.007 sec elapsed
Chr2 43000001 44000000 	35245 sites 	119.422 sec elapsed
Chr2 44000001 45000000 	35939 sites 	128.165 sec elapsed
Chr2 45000001 46000000 	33813 sites 	108.972 sec elapsed
Chr2 46000001 47000000 	31917 sites 	101.339 sec elapsed
Chr2 47000001 48000000 	26546 sites 	78.197 sec elapsed
Chr2 48000001 49000000 	34200 sites 	113.252 sec elapsed
Chr2 49000001 50000000 	40330 sites 	139.052 sec elapsed
Chr2 50000001 51000000 	43405 sites 	162.48 sec elapsed
Chr2 51000001 52000000 	43614 sites 	165.13 sec elapsed
Chr2 52000001 53000000 	43247 sites 	166.137 sec elapsed
Chr2 53000001 54000000 	48784 sites 	187.049 sec elapsed
Chr2 54000001 55000000 	45137 sites 	165.357 sec elapsed
Chr2 55000001 56000000 	48484 sites 	194.419 sec elapsed
Chr2 56000001 57000000 	47798 sites 	196.828 sec elapsed
Chr2 57000001 58000000 	51166 sites 	209.905 sec elapsed
Chr2 58000001 59000000 	43965 sites 	169.069 sec elapsed
Chr2 59000001 60000000 	46894 sites 	185.631 sec elapsed
Chr2 60000001 61000000 	52337 sites 	224.894 sec elapsed
Chr2 61000001 62000000 	56109 sites 	247.5 sec elapsed
Chr2 62000001 63000000 	50805 sites 	149.876 sec elapsed
Chr2 63000001 64000000 	62556 sites 	172.38 sec elapsed
Chr2 64000001 65000000 	56672 sites 	154.108 sec elapsed
Chr2 65000001 66000000 	49807 sites 	120.056 sec elapsed
Chr2 66000001 67000000 	49033 sites 	114.916 sec elapsed
Chr2 67000001 68000000 	39220 sites 	78.416 sec elapsed
Chr2 68000001 69000000 	37006 sites 	67.424 sec elapsed
Chr2 69000001 70000000 	47237 sites 	109.237 sec elapsed
Chr2 70000001 71000000 	44133 sites 	96.444 sec elapsed
Chr2 71000001 72000000 	63744 sites 	182.631 sec elapsed
Chr2 72000001 73000000 	65350 sites 	199.84 sec elapsed
Chr2 73000001 74000000 	64770 sites 	195.169 sec elapsed
Chr2 74000001 75000000 	62019 sites 	138.395 sec elapsed
Chr2 75000001 76000000 	59209 sites 	126.646 sec elapsed
Chr2 76000001 77000000 	39507 sites 	57.555 sec elapsed
Chr2 77000001 77118269 	659 sites 	3.075 sec elapsed

real	188m22.618s
user	144m19.640s
sys	6m52.266s
