Chr5 1 1000000 	51569 sites 	149.438 sec elapsed
Chr5 1000001 2000000 	68719 sites 	239.953 sec elapsed
Chr5 2000001 3000000 	59461 sites 	175.605 sec elapsed
Chr5 3000001 4000000 	60702 sites 	186.038 sec elapsed
Chr5 4000001 5000000 	54719 sites 	155.897 sec elapsed
Chr5 5000001 6000000 	51370 sites 	134.916 sec elapsed
Chr5 6000001 7000000 	58480 sites 	174.15 sec elapsed
Chr5 7000001 8000000 	53805 sites 	144.005 sec elapsed
Chr5 8000001 9000000 	62902 sites 	159.253 sec elapsed
Chr5 9000001 10000000 	58070 sites 	130.481 sec elapsed
Chr5 10000001 11000000 	50604 sites 	102.186 sec elapsed
Chr5 11000001 12000000 	59036 sites 	137.603 sec elapsed
Chr5 12000001 13000000 	49229 sites 	98.197 sec elapsed
Chr5 13000001 14000000 	53741 sites 	109.138 sec elapsed
Chr5 14000001 15000000 	54103 sites 	105.882 sec elapsed
Chr5 15000001 16000000 	46315 sites 	86.902 sec elapsed
Chr5 16000001 17000000 	53502 sites 	113.354 sec elapsed
Chr5 17000001 18000000 	49117 sites 	98.285 sec elapsed
Chr5 18000001 19000000 	45085 sites 	84.188 sec elapsed
Chr5 19000001 20000000 	52362 sites 	109.974 sec elapsed
Chr5 20000001 21000000 	38378 sites 	61.689 sec elapsed
Chr5 21000001 22000000 	36943 sites 	61.201 sec elapsed
Chr5 22000001 23000000 	45689 sites 	85.331 sec elapsed
Chr5 23000001 24000000 	49686 sites 	99.395 sec elapsed
Chr5 24000001 25000000 	48538 sites 	92.507 sec elapsed
Chr5 25000001 26000000 	36665 sites 	58.03 sec elapsed
Chr5 26000001 27000000 	45291 sites 	81.259 sec elapsed
Chr5 27000001 28000000 	29360 sites 	41.449 sec elapsed
Chr5 28000001 29000000 	35512 sites 	55.098 sec elapsed
Chr5 29000001 30000000 	45066 sites 	82.043 sec elapsed
Chr5 30000001 31000000 	38335 sites 	63.631 sec elapsed
Chr5 31000001 32000000 	35416 sites 	56.049 sec elapsed
Chr5 32000001 33000000 	25969 sites 	34.653 sec elapsed
Chr5 33000001 34000000 	43156 sites 	76.318 sec elapsed
Chr5 34000001 35000000 	49080 sites 	95.489 sec elapsed
Chr5 35000001 36000000 	35099 sites 	55.147 sec elapsed
Chr5 36000001 37000000 	42169 sites 	74.258 sec elapsed
Chr5 37000001 38000000 	40460 sites 	70.315 sec elapsed
Chr5 38000001 39000000 	34245 sites 	53.209 sec elapsed
Chr5 39000001 40000000 	42379 sites 	92.565 sec elapsed
Chr5 40000001 41000000 	41906 sites 	88.979 sec elapsed
Chr5 41000001 42000000 	35737 sites 	72.056 sec elapsed
Chr5 42000001 43000000 	29671 sites 	47.532 sec elapsed
Chr5 43000001 44000000 	34123 sites 	61.751 sec elapsed
Chr5 44000001 45000000 	34756 sites 	62.154 sec elapsed
Chr5 45000001 46000000 	35034 sites 	64.164 sec elapsed
Chr5 46000001 47000000 	31394 sites 	53.886 sec elapsed
Chr5 47000001 48000000 	36812 sites 	67.927 sec elapsed
Chr5 48000001 49000000 	33317 sites 	58.915 sec elapsed
Chr5 49000001 50000000 	33341 sites 	59.95 sec elapsed
Chr5 50000001 51000000 	46230 sites 	107.641 sec elapsed
Chr5 51000001 52000000 	39411 sites 	77.646 sec elapsed
Chr5 52000001 53000000 	35795 sites 	65.702 sec elapsed
Chr5 53000001 54000000 	35137 sites 	63.452 sec elapsed
Chr5 54000001 55000000 	46395 sites 	99.263 sec elapsed
Chr5 55000001 56000000 	38253 sites 	77.583 sec elapsed
Chr5 56000001 57000000 	39735 sites 	77.113 sec elapsed
Chr5 57000001 58000000 	43483 sites 	91.282 sec elapsed
Chr5 58000001 59000000 	44208 sites 	93.215 sec elapsed
Chr5 59000001 60000000 	50545 sites 	116.812 sec elapsed
Chr5 60000001 61000000 	51421 sites 	121.547 sec elapsed
Chr5 61000001 62000000 	46310 sites 	100.307 sec elapsed
Chr5 62000001 63000000 	47713 sites 	103.679 sec elapsed
Chr5 63000001 64000000 	50027 sites 	123.412 sec elapsed
Chr5 64000001 65000000 	57704 sites 	143.872 sec elapsed
Chr5 65000001 66000000 	62125 sites 	173.152 sec elapsed
Chr5 66000001 67000000 	56953 sites 	141.097 sec elapsed
Chr5 67000001 68000000 	61095 sites 	171.422 sec elapsed
Chr5 68000001 69000000 	57480 sites 	182.999 sec elapsed
Chr5 69000001 70000000 	69948 sites 	254.499 sec elapsed
Chr5 70000001 71106538 	61129 sites 	193.132 sec elapsed
