Chr6 1 1000000 	33390 sites 	138.251 sec elapsed
Chr6 1000001 2000000 	44250 sites 	192.164 sec elapsed
Chr6 2000001 3000000 	48913 sites 	203.795 sec elapsed
Chr6 3000001 4000000 	52366 sites 	253.54 sec elapsed
Chr6 4000001 5000000 	46349 sites 	170.352 sec elapsed
Chr6 5000001 6000000 	46804 sites 	179.699 sec elapsed
Chr6 6000001 7000000 	50585 sites 	217.021 sec elapsed
Chr6 7000001 8000000 	41826 sites 	154.727 sec elapsed
Chr6 8000001 9000000 	49481 sites 	206.563 sec elapsed
Chr6 9000001 10000000 	48893 sites 	197.993 sec elapsed
Chr6 10000001 11000000 	53397 sites 	234.315 sec elapsed
Chr6 11000001 12000000 	39158 sites 	139.415 sec elapsed
Chr6 12000001 13000000 	37918 sites 	130.272 sec elapsed
Chr6 13000001 14000000 	4972 sites 	12.131 sec elapsed
Chr6 14000001 15000000 	11692 sites 	25.559 sec elapsed
Chr6 15000001 16000000 	43771 sites 	167.845 sec elapsed
Chr6 16000001 17000000 	42942 sites 	156.243 sec elapsed
Chr6 17000001 18000000 	40145 sites 	146.033 sec elapsed
Chr6 18000001 19000000 	40687 sites 	141.762 sec elapsed
Chr6 19000001 20000000 	42283 sites 	152.198 sec elapsed
Chr6 20000001 21000000 	41166 sites 	142.494 sec elapsed
Chr6 21000001 22000000 	45749 sites 	175.188 sec elapsed
Chr6 22000001 23000000 	41451 sites 	142.772 sec elapsed
Chr6 23000001 24000000 	45773 sites 	173.218 sec elapsed
Chr6 24000001 25000000 	46595 sites 	175.469 sec elapsed
Chr6 25000001 26000000 	48772 sites 	187.37 sec elapsed
Chr6 26000001 27000000 	41587 sites 	158.917 sec elapsed
Chr6 27000001 28000000 	34682 sites 	112.244 sec elapsed
Chr6 28000001 29000000 	34735 sites 	112.048 sec elapsed
Chr6 29000001 30000000 	41416 sites 	144.047 sec elapsed
Chr6 30000001 31000000 	38181 sites 	124.685 sec elapsed
Chr6 31000001 32000000 	37681 sites 	123.434 sec elapsed
Chr6 32000001 33000000 	41193 sites 	146.109 sec elapsed
Chr6 33000001 34000000 	38420 sites 	132.43 sec elapsed
Chr6 34000001 35000000 	46340 sites 	177.335 sec elapsed
Chr6 35000001 36000000 	45529 sites 	172.907 sec elapsed
Chr6 36000001 37000000 	48079 sites 	187.015 sec elapsed
Chr6 37000001 38000000 	45389 sites 	175.178 sec elapsed
Chr6 38000001 39000000 	57437 sites 	288.239 sec elapsed
Chr6 39000001 40000000 	52651 sites 	251.094 sec elapsed
Chr6 40000001 41000000 	59731 sites 	289.508 sec elapsed
Chr6 41000001 42000000 	49059 sites 	202.608 sec elapsed
Chr6 42000001 43000000 	51540 sites 	217.513 sec elapsed
Chr6 43000001 44000000 	44080 sites 	185.98 sec elapsed
Chr6 44000001 45000000 	42460 sites 	162.886 sec elapsed
Chr6 45000001 46000000 	37210 sites 	145.353 sec elapsed
Chr6 46000001 47000000 	58263 sites 	280.304 sec elapsed
Chr6 47000001 48000000 	62344 sites 	310.179 sec elapsed
Chr6 48000001 49000000 	56971 sites 	264.404 sec elapsed
Chr6 49000001 50000000 	59790 sites 	239.678 sec elapsed
Chr6 50000001 51000000 	55186 sites 	156.92 sec elapsed
Chr6 51000001 52000000 	58134 sites 	168.253 sec elapsed
Chr6 52000001 53000000 	60169 sites 	176.108 sec elapsed
Chr6 53000001 54000000 	61285 sites 	174.371 sec elapsed
Chr6 54000001 55000000 	54015 sites 	147.035 sec elapsed
Chr6 55000001 55699338 	30938 sites 	58.376 sec elapsed

real	162m35.158s
user	120m44.123s
sys	5m32.468s
