Chr7 1 1000000 	29145 sites 	93.192 sec elapsed
Chr7 1000001 2000000 	37897 sites 	111.581 sec elapsed
Chr7 2000001 3000000 	37931 sites 	151.369 sec elapsed
Chr7 3000001 4000000 	44673 sites 	180.358 sec elapsed
Chr7 4000001 5000000 	44005 sites 	173.506 sec elapsed
Chr7 5000001 6000000 	35474 sites 	125.008 sec elapsed
Chr7 6000001 7000000 	45501 sites 	176.484 sec elapsed
Chr7 7000001 8000000 	43174 sites 	161.9 sec elapsed
Chr7 8000001 9000000 	39378 sites 	139.275 sec elapsed
Chr7 9000001 10000000 	50483 sites 	205.04 sec elapsed
Chr7 10000001 11000000 	51835 sites 	211.196 sec elapsed
Chr7 11000001 12000000 	44963 sites 	159.329 sec elapsed
Chr7 12000001 13000000 	36927 sites 	116.946 sec elapsed
Chr7 13000001 14000000 	37892 sites 	124.257 sec elapsed
Chr7 14000001 15000000 	41500 sites 	158.502 sec elapsed
Chr7 15000001 16000000 	41993 sites 	150.416 sec elapsed
Chr7 16000001 17000000 	39154 sites 	130.933 sec elapsed
Chr7 17000001 18000000 	15285 sites 	34.977 sec elapsed
Chr7 18000001 19000000 	25128 sites 	69.006 sec elapsed
Chr7 19000001 20000000 	39156 sites 	128.422 sec elapsed
Chr7 20000001 21000000 	38622 sites 	125.382 sec elapsed
Chr7 21000001 22000000 	38336 sites 	121.303 sec elapsed
Chr7 22000001 23000000 	6039 sites 	13.527 sec elapsed
Chr7 23000001 24000000 	14771 sites 	31.975 sec elapsed
Chr7 24000001 25000000 	28280 sites 	83.893 sec elapsed
Chr7 25000001 26000000 	35951 sites 	115.056 sec elapsed
Chr7 26000001 27000000 	41460 sites 	150.25 sec elapsed
Chr7 27000001 28000000 	32673 sites 	100.234 sec elapsed
Chr7 28000001 29000000 	34014 sites 	101.394 sec elapsed
Chr7 29000001 30000000 	44182 sites 	160.194 sec elapsed
Chr7 30000001 31000000 	36713 sites 	115.993 sec elapsed
Chr7 31000001 32000000 	41879 sites 	150.406 sec elapsed
Chr7 32000001 33000000 	39762 sites 	137.884 sec elapsed
Chr7 33000001 34000000 	34906 sites 	111.911 sec elapsed
Chr7 34000001 35000000 	46759 sites 	186.318 sec elapsed
Chr7 35000001 36000000 	51591 sites 	206.344 sec elapsed
Chr7 36000001 37000000 	45953 sites 	163.464 sec elapsed
Chr7 37000001 38000000 	47066 sites 	172.824 sec elapsed
Chr7 38000001 39000000 	51880 sites 	213.738 sec elapsed
Chr7 39000001 40000000 	45887 sites 	174.109 sec elapsed
Chr7 40000001 41000000 	36421 sites 	116.094 sec elapsed
Chr7 41000001 42000000 	45407 sites 	164.377 sec elapsed
Chr7 42000001 43000000 	46990 sites 	180.814 sec elapsed
Chr7 43000001 44000000 	49543 sites 	197.053 sec elapsed
Chr7 44000001 45000000 	48461 sites 	193.13 sec elapsed
Chr7 45000001 46000000 	50705 sites 	213.139 sec elapsed
Chr7 46000001 47000000 	41685 sites 	149.641 sec elapsed
Chr7 47000001 48000000 	41859 sites 	162.63 sec elapsed
Chr7 48000001 49000000 	56603 sites 	269.29 sec elapsed
Chr7 49000001 50000000 	55927 sites 	266.475 sec elapsed
Chr7 50000001 51000000 	58345 sites 	294.722 sec elapsed
Chr7 51000001 52000000 	66686 sites 	393.81 sec elapsed
Chr7 52000001 53000000 	63979 sites 	354.743 sec elapsed
Chr7 53000001 54000000 	56773 sites 	285.547 sec elapsed
Chr7 54000001 55000000 	69870 sites 	399.761 sec elapsed
Chr7 55000001 55564713 	31346 sites 	77.703 sec elapsed

real	153m22.586s
user	111m17.883s
sys	4m15.126s
