Chr8 1 1000000 	30548 sites 	96.049 sec elapsed
Chr8 1000001 2000000 	44440 sites 	181.913 sec elapsed
Chr8 2000001 3000000 	56147 sites 	252.236 sec elapsed
Chr8 3000001 4000000 	35347 sites 	117.359 sec elapsed
Chr8 4000001 5000000 	51224 sites 	226.119 sec elapsed
Chr8 5000001 6000000 	59169 sites 	290.09 sec elapsed
Chr8 6000001 7000000 	98518 sites 	709.621 sec elapsed
Chr8 7000001 8000000 	78244 sites 	468.269 sec elapsed
Chr8 8000001 9000000 	63227 sites 	307.16 sec elapsed
Chr8 9000001 10000000 	58031 sites 	271.119 sec elapsed
Chr8 10000001 11000000 	49533 sites 	199.839 sec elapsed
Chr8 11000001 12000000 	47926 sites 	188.598 sec elapsed
Chr8 12000001 13000000 	32065 sites 	92.323 sec elapsed
Chr8 13000001 14000000 	38686 sites 	139.316 sec elapsed
Chr8 14000001 15000000 	41349 sites 	145.643 sec elapsed
Chr8 15000001 16000000 	32837 sites 	106.348 sec elapsed
Chr8 16000001 17000000 	43224 sites 	161.696 sec elapsed
Chr8 17000001 18000000 	40918 sites 	150.905 sec elapsed
Chr8 18000001 19000000 	44443 sites 	166.477 sec elapsed
Chr8 19000001 20000000 	50673 sites 	210.169 sec elapsed
Chr8 20000001 21000000 	52146 sites 	233.902 sec elapsed
Chr8 21000001 22000000 	35232 sites 	109.529 sec elapsed
Chr8 22000001 23000000 	46562 sites 	180.546 sec elapsed
Chr8 23000001 24000000 	34420 sites 	111.963 sec elapsed
Chr8 24000001 25000000 	43553 sites 	157.205 sec elapsed
Chr8 25000001 26000000 	46621 sites 	176.06 sec elapsed
Chr8 26000001 27000000 	21525 sites 	59.597 sec elapsed
Chr8 27000001 28000000 	42194 sites 	148.141 sec elapsed
Chr8 28000001 29000000 	41702 sites 	153.747 sec elapsed
Chr8 29000001 30000000 	44460 sites 	164.175 sec elapsed
Chr8 30000001 31000000 	39929 sites 	135.418 sec elapsed
Chr8 31000001 32000000 	42127 sites 	149.201 sec elapsed
Chr8 32000001 33000000 	36555 sites 	114.786 sec elapsed
Chr8 33000001 34000000 	47612 sites 	190.72 sec elapsed
Chr8 34000001 35000000 	33402 sites 	104.348 sec elapsed
Chr8 35000001 36000000 	41088 sites 	146.901 sec elapsed
Chr8 36000001 37000000 	35866 sites 	111.495 sec elapsed
Chr8 37000001 38000000 	40043 sites 	153.106 sec elapsed
Chr8 38000001 39000000 	51850 sites 	213.461 sec elapsed
Chr8 39000001 40000000 	43914 sites 	157.773 sec elapsed
Chr8 40000001 41000000 	38042 sites 	133.047 sec elapsed
Chr8 41000001 42000000 	49007 sites 	207.824 sec elapsed
Chr8 42000001 43000000 	60019 sites 	285.19 sec elapsed
Chr8 43000001 44000000 	52835 sites 	234.274 sec elapsed
Chr8 44000001 45000000 	60935 sites 	273.556 sec elapsed
Chr8 45000001 46000000 	47936 sites 	198.296 sec elapsed
Chr8 46000001 47000000 	40763 sites 	153.595 sec elapsed
Chr8 47000001 48000000 	48346 sites 	179.653 sec elapsed
Chr8 48000001 49000000 	51251 sites 	133.617 sec elapsed
Chr8 49000001 50000000 	45965 sites 	103.337 sec elapsed
Chr8 50000001 51000000 	54028 sites 	128.973 sec elapsed
Chr8 51000001 52000000 	55270 sites 	126.231 sec elapsed
Chr8 52000001 53000000 	61681 sites 	160.572 sec elapsed
Chr8 53000001 54000000 	63112 sites 	168.948 sec elapsed
Chr8 54000001 55000000 	62548 sites 	165.149 sec elapsed
Chr8 55000001 56000000 	74612 sites 	222.037 sec elapsed
Chr8 56000001 57000000 	65217 sites 	164.688 sec elapsed
Chr8 57000001 57431585 	16232 sites 	17.8 sec elapsed

real	175m59.875s
user	132m25.743s
sys	6m2.806s
