Chr4 1 1000000 	34888 sites 	85.384 sec elapsed
Chr4 1000001 2000000 	41131 sites 	109.415 sec elapsed
Chr4 2000001 3000000 	50427 sites 	180.382 sec elapsed
Chr4 3000001 4000000 	48961 sites 	230.693 sec elapsed
Chr4 4000001 5000000 	46834 sites 	192.417 sec elapsed
Chr4 5000001 6000000 	36222 sites 	129.215 sec elapsed
Chr4 6000001 7000000 	32988 sites 	105.905 sec elapsed
Chr4 7000001 8000000 	38268 sites 	139.525 sec elapsed
Chr4 8000001 9000000 	40837 sites 	145.475 sec elapsed
Chr4 9000001 10000000 	46447 sites 	178.083 sec elapsed
Chr4 10000001 11000000 	46463 sites 	170.823 sec elapsed
Chr4 11000001 12000000 	44360 sites 	162.641 sec elapsed
Chr4 12000001 13000000 	52076 sites 	228.774 sec elapsed
Chr4 13000001 14000000 	51802 sites 	215.245 sec elapsed
Chr4 14000001 15000000 	43774 sites 	163.706 sec elapsed
Chr4 15000001 16000000 	56756 sites 	244.458 sec elapsed
Chr4 16000001 17000000 	41183 sites 	143.225 sec elapsed
Chr4 17000001 18000000 	47099 sites 	180.866 sec elapsed
Chr4 18000001 19000000 	46011 sites 	172.582 sec elapsed
Chr4 19000001 20000000 	45045 sites 	164.788 sec elapsed
Chr4 20000001 21000000 	45536 sites 	163.807 sec elapsed
Chr4 21000001 22000000 	44695 sites 	165.181 sec elapsed
Chr4 22000001 23000000 	39177 sites 	135.617 sec elapsed
Chr4 23000001 24000000 	50263 sites 	205.743 sec elapsed
Chr4 24000001 25000000 	40493 sites 	143.283 sec elapsed
Chr4 25000001 26000000 	14537 sites 	32.962 sec elapsed
Chr4 26000001 27000000 	5439 sites 	15.999 sec elapsed
Chr4 27000001 28000000 	13910 sites 	29.146 sec elapsed
Chr4 28000001 29000000 	2159 sites 	7.279 sec elapsed
Chr4 29000001 30000000 	4454 sites 	10.174 sec elapsed
Chr4 30000001 31000000 	22220 sites 	54.524 sec elapsed
Chr4 31000001 32000000 	37817 sites 	124.405 sec elapsed
Chr4 32000001 33000000 	47517 sites 	181.33 sec elapsed
Chr4 33000001 34000000 	42981 sites 	155.405 sec elapsed
Chr4 34000001 35000000 	34941 sites 	114.676 sec elapsed
Chr4 35000001 36000000 	37096 sites 	124.309 sec elapsed
Chr4 36000001 37000000 	45010 sites 	173.895 sec elapsed
Chr4 37000001 38000000 	37787 sites 	123.401 sec elapsed
Chr4 38000001 39000000 	42630 sites 	152.979 sec elapsed
Chr4 39000001 40000000 	53560 sites 	242.011 sec elapsed
Chr4 40000001 41000000 	49070 sites 	209.783 sec elapsed
Chr4 41000001 42000000 	48173 sites 	213.886 sec elapsed
Chr4 42000001 43000000 	45865 sites 	184.059 sec elapsed
Chr4 43000001 44000000 	51094 sites 	230.985 sec elapsed
Chr4 44000001 45000000 	56739 sites 	267.925 sec elapsed
Chr4 45000001 46000000 	42814 sites 	169.963 sec elapsed
Chr4 46000001 47000000 	54358 sites 	255.704 sec elapsed
Chr4 47000001 48000000 	60847 sites 	315.96 sec elapsed
Chr4 48000001 49000000 	56727 sites 	281.859 sec elapsed
Chr4 49000001 50000000 	52122 sites 	246.811 sec elapsed
Chr4 50000001 51000000 	47883 sites 	210.615 sec elapsed
Chr4 51000001 52000000 	59511 sites 	307.566 sec elapsed
Chr4 52000001 53000000 	61619 sites 	325.048 sec elapsed
Chr4 53000001 54000000 	48098 sites 	214.276 sec elapsed
Chr4 54000001 54887108 	29085 sites 	86.986 sec elapsed

real	154m17.270s
user	111m54.395s
sys	4m42.611s
